,table_id,ip_bytes,ip_packet,ip_duration,in_port,port_bytes,port_packet,port_flow_count,table_active_count,table_lookup_count,table_matched_count,port_rx_packets,port_tx_packets,port_rx_bytes,port_tx_bytes,port_rx_dropped,port_tx_dropped,port_rx_errors,port_tx_errors,port_rx_frame_err,port_rx_over_err,port_rx_crc_err,port_collisions,port_duration_sec,type
92637,0.0,0.0,0.0,0.0,1.0,266.0,4.0,12.0,14.0,1467572.0,1466500.0,1502253.0,54800.0,394095072.0,4331565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62858.0,5
92638,0.0,299.0,3.0,2.0,1.0,2313.0,21.0,9.0,11.0,1623317.0,1622245.0,1655298.0,61298.0,421690070.0,4844129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70233.0,5
92639,0.0,299.0,3.0,1.0,1.0,6381.0,31.0,17.0,19.0,1489582.0,1488510.0,1523634.0,55762.0,397525969.0,4407440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63952.0,5
92640,0.0,233.0,2.0,0.0,1.0,14013.0,61.0,19.0,21.0,953565.0,952493.0,1001836.0,34687.0,312856157.0,2746236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40011.0,5
92641,0.0,223.0,3.0,2.0,1.0,1185.0,13.0,6.0,7.0,1238740.0,1237668.0,1280882.0,45470.0,361050498.0,3598061.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52394.0,5
92642,0.0,209.0,3.0,2.0,1.0,2837.0,27.0,15.0,16.0,1128439.0,1127367.0,1174036.0,41183.0,345322833.0,3259572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47474.0,5
92643,0.0,208.0,3.0,2.0,1.0,1873.0,19.0,13.0,14.0,601597.0,600525.0,591005.0,24225.0,109610651.0,1915277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27555.0,5
92644,0.0,299.0,3.0,1.0,1.0,2887.0,22.0,14.0,16.0,378470.0,377398.0,371502.0,15262.0,63471485.0,1206895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17232.0,5
92645,0.0,207.0,3.0,3.0,1.0,2003.0,20.0,7.0,8.0,301417.0,300345.0,297329.0,11742.0,52307753.0,929937.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13273.0,5
92646,0.0,220.0,2.0,0.0,1.0,4889.0,22.0,18.0,20.0,1463014.0,1461942.0,1497907.0,54565.0,393502992.0,4313030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62591.0,5
